stock,start_date,window_ID,timestep,open,volatility,volume,target
COF,2023-11-21,69,66,105.63999938964844,0.02449798583984375,9739,1
COF,2023-11-21,69,67,105.73999786376953,0.0099945068359375,7840,1
COF,2023-11-21,69,68,105.86000061035156,0.04000091552734375,7132,0
COF,2023-11-21,69,69,105.81300354003906,0.0330047607421875,11005,1
COF,2023-11-21,69,70,105.80000305175781,0.03000640869140625,14082,1
COF,2023-11-21,69,71,105.83000183105469,0.0780029296875,13404,0
COF,2023-11-21,69,72,105.81999969482422,0.09999847412109375,20848,1
COF,2023-11-21,69,73,105.83000183105469,0.04000091552734375,16650,0
COF,2023-11-21,69,74,105.87000274658203,0.06999969482421875,16139,0
COF,2023-11-21,69,75,105.81999969482422,0.0500030517578125,21880,1
COF,2023-11-21,69,76,105.86000061035156,0.04000091552734375,46394,0
COF,2023-11-21,69,77,105.87000274658203,0.0800018310546875,75237,0
DAL,2023-10-19,132,1,33.209999084472656,0.15999984741210938,647615,0
DAL,2023-10-19,132,2,33.07500076293945,0.15500259399414062,363229,1
DAL,2023-10-19,132,3,33.08000183105469,0.04000091552734375,478973,1
DAL,2023-10-19,132,4,33.27000045776367,0.0399017333984375,351418,0
DAL,2023-10-19,132,5,33.27000045776367,0.21990203857421875,166932,0
DAL,2023-10-19,132,6,33.189998626708984,0.0449981689453125,198833,1
DAL,2023-10-19,132,7,33.15999984741211,0.09000015258789062,315258,1
DAL,2023-10-19,132,8,33.349998474121094,0.06999969482421875,144937,1
DAL,2023-10-19,132,9,33.315101623535156,0.015102386474609375,331812,1
DAL,2023-10-19,132,10,33.560001373291016,0.15000152587890625,358370,0
DAL,2023-10-19,132,11,33.5,0.20000076293945312,136376,0
DAL,2023-10-19,132,12,33.43000030517578,0.15000152587890625,127273,0
DAL,2023-10-19,132,13,33.279998779296875,0.039997100830078125,129742,1
DAL,2023-10-19,132,14,33.34000015258789,0.005001068115234375,79615,0
DAL,2023-10-19,132,15,33.35499954223633,0.07999801635742188,108559,1
DAL,2023-10-19,132,16,33.31010055541992,0.0,122097,1
DAL,2023-10-19,132,17,33.374698638916016,0.0196990966796875,162687,1
DAL,2023-10-19,132,18,33.43000030517578,0.06499862670898438,141931,0
DAL,2023-10-19,132,19,33.40999984741211,0.009998321533203125,167973,1
DAL,2023-10-19,132,20,33.41999816894531,0.039997100830078125,132281,0
DAL,2023-10-19,132,21,33.5,0.1399993896484375,172118,0
DAL,2023-10-19,132,22,33.369998931884766,0.1399993896484375,132099,0
DAL,2023-10-19,132,23,33.290000915527344,0.045001983642578125,70866,1
DAL,2023-10-19,132,24,33.349998474121094,0.05999755859375,84312,0
DAL,2023-10-19,132,25,33.30500030517578,0.034999847412109375,81993,1
DAL,2023-10-19,132,26,33.30329895019531,0.001697540283203125,123202,0
DAL,2023-10-19,132,27,33.380001068115234,0.125,115547,1
DAL,2023-10-19,132,28,33.290000915527344,0.005001068115234375,134348,1
DAL,2023-10-19,132,29,33.38999938964844,0.09999847412109375,146283,0
DAL,2023-10-19,132,30,33.30500030517578,0.21500015258789062,176854,1
DAL,2023-10-19,132,31,33.20500183105469,0.12000274658203125,190323,1
DAL,2023-10-19,132,32,33.38999938964844,0.15999984741210938,119008,0
DAL,2023-10-19,132,33,33.27000045776367,0.01000213623046875,84915,1
