stock,start_date,window_ID,timestep,open,volatility,volume,target
C,2023-12-01,86,1,46.0,0.1100006103515625,269501,1
C,2023-12-01,86,2,46.10499954223633,0.125,233186,0
C,2023-12-01,86,3,46.040000915527344,0.095001220703125,100221,1
C,2023-12-01,86,4,45.970001220703125,0.020000457763671875,113840,1
C,2023-12-01,86,5,46.119998931884766,0.029998779296875,102496,1
C,2023-12-01,86,6,46.150001525878906,0.0500030517578125,236431,1
C,2023-12-01,86,7,46.209999084472656,0.04000091552734375,291831,1
C,2023-12-01,86,8,46.314998626708984,0.0749969482421875,128735,0
C,2023-12-01,86,9,46.29499816894531,0.07999801635742188,93406,0
C,2023-12-01,86,10,46.25,0.034999847412109375,89540,1
C,2023-12-01,86,11,46.29999923706055,0.012699127197265625,161817,1
C,2023-12-01,86,12,46.36000061035156,0.029998779296875,130492,0
C,2023-12-01,86,13,46.3650016784668,0.05500030517578125,184503,0
C,2023-12-01,86,14,46.310001373291016,0.030002593994140625,96856,0
C,2023-12-01,86,15,46.299800872802734,0.03980255126953125,100589,1
C,2023-12-01,86,16,46.279998779296875,0.020000457763671875,472562,1
C,2023-12-01,86,17,46.35499954223633,0.0149993896484375,142945,0
C,2023-12-01,86,18,46.39390182495117,0.05390167236328125,126475,0
C,2023-12-01,86,19,46.345001220703125,0.1399993896484375,123052,1
C,2023-12-01,86,20,46.2599983215332,0.024997711181640625,90805,1
C,2023-12-01,86,21,46.415000915527344,0.0149993896484375,294234,1
C,2023-12-01,86,22,46.494998931884766,0.024997711181640625,142950,1
C,2023-12-01,86,23,46.525001525878906,0.045001983642578125,136030,1
C,2023-12-01,86,24,46.52000045776367,0.01000213623046875,150281,1
C,2023-12-01,86,25,46.54999923706055,0.07500076293945312,178013,1
C,2023-12-01,86,26,46.570098876953125,0.050098419189453125,102527,1
C,2023-12-01,86,27,46.57500076293945,0.0149993896484375,210364,1
C,2023-12-01,86,28,46.66999816894531,0.06499862670898438,175610,1
C,2023-12-01,86,29,46.70000076293945,0.030002593994140625,247832,1
C,2023-12-01,86,30,46.709999084472656,0.009998321533203125,121336,1
C,2023-12-01,86,31,46.7599983215332,0.00659942626953125,139546,1
C,2023-12-01,86,32,46.834999084472656,0.04000091552734375,157605,1
C,2023-12-01,86,33,46.834999084472656,0.020000457763671875,150486,1
C,2023-12-01,86,34,46.8650016784668,0.045001983642578125,184586,1
C,2023-12-01,86,35,46.849998474121094,0.00499725341796875,230204,1
C,2023-12-01,86,36,46.95000076293945,0.030002593994140625,125359,0
C,2023-12-01,86,37,46.93000030517578,0.020000457763671875,118100,1
C,2023-12-01,86,38,46.91999816894531,0.01999664306640625,71787,1
C,2023-12-01,86,39,46.96500015258789,0.02500152587890625,73232,1
C,2023-12-01,86,40,46.974998474121094,0.00499725341796875,253446,1
C,2023-12-01,86,41,47.02000045776367,0.009899139404296875,142179,1
C,2023-12-01,86,42,47.03459930419922,0.014598846435546875,121852,1
C,2023-12-01,86,43,47.074100494384766,0.059101104736328125,145364,0
C,2023-12-01,86,44,47.06999969482422,0.07999801635742188,174715,0
C,2023-12-01,86,45,47.02000045776367,0.0774993896484375,75611,0
C,2023-12-01,86,46,46.95000076293945,0.049999237060546875,114437,1
C,2023-12-01,86,47,46.9900016784668,0.030002593994140625,94084,0
C,2023-12-01,86,48,46.97999954223633,0.08810043334960938,93951,0
C,2023-12-01,86,49,46.88999938964844,0.009998321533203125,101555,1
C,2023-12-01,86,50,46.93000030517578,0.0326995849609375,68180,1
C,2023-12-01,86,51,46.91999816894531,0.049999237060546875,89957,0
C,2023-12-01,86,52,46.939998626708984,0.06499862670898438,80513,1
C,2023-12-01,86,53,46.880001068115234,0.01000213623046875,482709,1
C,2023-12-01,86,54,46.9900016784668,0.01000213623046875,133504,1
C,2023-12-01,86,55,47.02000045776367,0.020000457763671875,189307,0
C,2023-12-01,86,56,47.060001373291016,0.05500030517578125,105009,1
C,2023-12-01,86,57,47.02000045776367,0.0,270414,1
C,2023-12-01,86,58,47.10499954223633,0.024997711181640625,147080,1
C,2023-12-01,86,59,47.08000183105469,0.0,183143,1
C,2023-12-01,86,60,47.165000915527344,0.07500076293945312,218551,0
C,2023-12-01,86,61,47.150001525878906,0.04000091552734375,159200,0
C,2023-12-01,86,62,47.119998931884766,0.03749847412109375,273349,1
C,2023-12-01,86,63,47.13999938964844,0.015899658203125,140918,1
C,2023-12-01,86,64,47.165000915527344,0.0149993896484375,86382,0
C,2023-12-01,86,65,47.209999084472656,0.07999801635742188,319551,0
C,2023-12-01,86,66,47.130001068115234,0.049999237060546875,288103,0
C,2023-12-01,86,67,47.099998474121094,0.049999237060546875,162284,0
C,2023-12-01,86,68,47.07500076293945,0.07500076293945312,135775,1
C,2023-12-01,86,69,47.060001373291016,0.01000213623046875,80689,0
C,2023-12-01,86,70,47.070098876953125,0.04010009765625,216531,1
C,2023-12-01,86,71,47.03499984741211,0.005001068115234375,341675,1
C,2023-12-01,86,72,47.10850143432617,0.008502960205078125,184819,1
C,2023-12-01,86,73,47.130001068115234,0.020000457763671875,180184,1
C,2023-12-01,86,74,47.143798828125,0.023799896240234375,271367,1
C,2023-12-01,86,75,47.130001068115234,0.01000213623046875,584372,1
C,2023-12-01,86,76,47.19499969482422,0.05500030517578125,328330,0
C,2023-12-01,86,77,47.18000030517578,0.09999847412109375,496652,1
EQIX,2023-11-27,870,1,793.27001953125,5.64373779296875,4136,1
EQIX,2023-11-27,870,2,791.7000122070312,0.15728759765625,1916,1
